donor,time_at_lining,register_in,register_out,total_wait_to_register,status
init_1,0.0,0.0,1.0,0.0,served
init_2,0.0,1.0,2.0,1.0,served
init_3,0.0,2.0,3.0,2.0,served
init_4,0.0,3.0,4.0,3.0,served
init_5,0.0,4.0,9.0,4.0,served
init_6,0.0,9.0,14.0,9.0,served
arr_1,0.68,14.0,15.0,13.32,served
arr_2,3.52,15.0,20.0,11.48,served
arr_3,5.76,20.0,21.0,14.24,served
arr_4,6.29,21.0,22.0,14.71,served
arr_5,8.18,22.0,27.0,13.82,served
arr_6,8.54,27.0,28.0,18.46,served
arr_7,8.75,28.0,29.0,19.25,served
arr_8,8.96,29.0,36.29,20.04,served
arr_9,12.96,36.29,41.29,23.33,served
arr_10,14.6,41.29,47.79,26.7,served
arr_11,16.31,47.79,48.79,31.48,served
arr_12,18.9,48.79,53.79,29.88,served
arr_13,19.59,53.79,62.04,34.19,served
arr_14,21.74,62.04,67.04,40.29,served
arr_15,27.61,67.04,72.04,39.42,served
arr_16,29.88,72.04,79.25,42.15,served
arr_17,31.75,79.25,80.25,47.5,served
arr_18,31.95,80.25,81.25,48.3,served
arr_19,32.06,81.25,91.23,49.2,served
arr_20,32.3,91.23,96.23,58.93,served
arr_21,35.65,96.23,101.23,60.58,served
arr_22,39.84,101.23,102.23,61.39,served
arr_23,46.38,102.23,103.23,55.84,served
arr_24,47.22,103.23,110.08,56.01,served
arr_25,48.0,110.08,115.75,62.08,served
arr_26,49.42,115.75,121.21,66.33,served
arr_27,50.79,121.21,122.21,70.42,served
arr_28,52.49,122.21,127.21,69.72,served
arr_29,53.66,127.21,134.24,73.55,served
arr_30,56.44,134.24,143.56,77.8,served
arr_31,57.32,143.56,144.56,86.24,served
arr_32,57.88,144.56,152.24,86.68,served
arr_33,60.0,152.24,153.24,92.24,served
arr_34,60.58,153.24,160.93,92.66,served
arr_35,62.93,160.93,169.32,98.0,served
arr_36,66.2,169.32,178.3,103.12,served
arr_37,66.41,178.3,183.3,111.89,served
arr_38,67.61,183.3,188.3,115.69,served
arr_39,70.0,188.3,189.3,118.31,served
arr_40,71.26,189.3,194.3,118.04,served
arr_41,72.43,194.3,199.3,121.87,served
arr_42,76.63,199.3,204.3,122.67,served
arr_43,80.48,204.3,209.3,123.82,served
arr_44,83.74,209.3,218.13,125.56,served
arr_45,84.49,218.13,223.13,133.64,served
arr_46,86.33,223.13,224.13,136.8,served
arr_47,87.82,224.13,225.13,136.31,served
arr_48,94.71,225.13,226.13,130.42,served
arr_49,95.28,226.13,232.88,130.85,served
arr_50,95.55,232.88,233.88,137.33,served
arr_51,100.26,233.88,238.88,133.62,served
arr_52,101.01,238.88,243.88,137.87,served
arr_53,101.82,243.88,252.99,142.06,served
arr_54,103.13,252.99,253.99,149.86,served
arr_55,108.89,253.99,254.99,145.1,served
arr_56,108.9,254.99,255.99,146.09,served
arr_57,112.52,255.99,264.5,143.47,served
arr_58,115.21,264.5,265.5,149.29,served
arr_59,115.86,265.5,270.5,149.64,served
arr_60,117.03,270.5,275.5,153.46,served
arr_61,120.17,275.5,276.5,155.33,served
arr_62,123.05,276.5,277.5,153.45,served
arr_63,123.83,277.5,283.09,153.66,served
arr_64,128.71,283.09,288.09,154.38,served
arr_65,134.37,288.09,289.09,153.72,served
arr_66,137.91,289.09,290.09,151.18,served
arr_67,138.44,290.09,295.45,151.65,served
arr_68,139.22,295.45,296.45,156.23,served
